Team Names,Leagues
The Spaghetti Diagrams,Alex
Pranav's Peerless Team,Alex
Obi-Won Mahomie,Alex
alexanderhill96's Swag Team,Alex
Ayman's Amazing Team,Alex
Pavan's QUEST for a Ring,Alex
The Better Bailey,Alex
CheeseHeadChoke,Alex
The Ethan Allens,Alex
Patrick's Phenomenal Team,Alex
Eitan's Team,Michael
Taylor-Made,Michael
Summer's Team,Michael
Jess's Lamarvelous Team,Michael
Andrew's Team,Michael
Cardiac Aquest,Michael
Dustin's Dandy Team,Michael
QUESTy Qrab,Michael
Zeke and Destroy,Michael
Najee see me Najee don’t,Michael
Barkley's Knees,Jack
Guild Ed Age,Jack
Fishbone Diagrammies,Jack
Mike White is not Elite Nvm,Jack
Flip Kupp,Jack
lets see paul allen’s wr3,Jack
Jean's Swell Team,Jack
Sareet's Slam-Dunk Team,Jack
Dan Snyder’s Evil Empire,Jack
Ansh's Astounding Team,Jack
